Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
"✅ Verified Review |  Ahmedabad to Delhi. Vistara weigh check in baggage. My laptop trolley bag was 8kg and I was harassed to check in the luggage and not taking it by hand. I requested to their manager as well that this is the only bag and I have my laptop in bag, but of no use, they said either pay extra money or check in the baggage. Finally I have to take my laptop in my hand and check in the baggage. When tried to log in feedback at their site then their site doesn't take any feedback. Attached herewith the snapshot of the same. Never expected such an unprofessional behaviour from airlines like Vistara. Although I am a member of club Vistara as well, but still of no use.",Vistara,Aviation,Medium,6.0
the app has been becoming too casual on the products and products support is also of no affect,Zomato Food Delivery,Food & Beverage,Low,3.0
very bad there is no cod option I am very dissatisfied with this,Zomato Food Delivery,Food & Beverage,Medium,5.5
not downloading I have the internet full then also it is not downloading,Zomato Food Delivery,Food & Beverage,High,9.0
this app is not working properly they just looted people,Zomato Food Delivery,Food & Beverage,High,8.0
My Tata Sky DTH connection has been showing 'no signal' for two days. Customer care says engineer will come 'soon'. Kaise dekhe TV?!,Tata Sky DTH,Tech & Telecommunications,High,8.5
✅ Trip Verified | Delhi to Dubai with SpiceJet. Delays after delays. From original flight time of 7.45 am to a delay of 2 hours 15 minutes to a further delay of 1 hour 45 minutes to fly. Been waiting on the plane as I write this. Might as well have booked a cheaper afternoon flight. Worst flight ever!,SpiceJet,Aviation,High,9.5
"Debit card swipe kiya, payment failed. Phir cash mein pay kiya. Account se do baar paisa cut gaya. Ye kya hai?",Bank of Baroda POS Transaction,Banking,High,10.0
customer support service is very useless only chat is there but is not relevant to to our issue.,Zomato Food Delivery,Food & Beverage,Medium,6.5
"UPI limit change karwai thi, lekin apply nahi hui. Ab urgent payment nahi ho pa rahi hai. Inka system itna bekar hai.",YES Bank UPI,Banking,High,9.0
I gave 5 stars earlier but since you hide real customers review. you get 1,Zomato Food Delivery,Food & Beverage,Low,2.0
✅ Trip Verified |  Worst flight experience. 1.5 hour delay. No proper reason. No communication with the passengers. We were sitting in the flight for 1.5 hours. All Air India flights have been the same in the past.,Air India Express,Aviation,High,8.0
"SBI net banking is always down! Can't even check my balance. Itna ghatiya system, shame on you.",SBI Net Banking,Banking,High,7.5
chor company hai customer se jada charge karti aapne delivery partner kam paise deti,Zomato Food Delivery,Food & Beverage,Medium,6.0
"✅ Trip Verified |  I would like to express my gratitude for the excellent service provided by staff. The air hostesses, Praveet and Preeti, were exceptional in their duties and displayed a remarkable level of professionalism throughout the flight. While the overall service was commendable, I would like to bring to your attention a minor issue regarding the in-flight entertainment system. Unfortunately, the screens in our section were not working properly.",AirIndia,Aviation,Low,3.0
wrong product 😒bed experience,Zomato Food Delivery,Food & Beverage,Medium,6.5
✅ Trip Verified | The flight was delayed for 24 hours and no prior information was passed to the passengers. All the passengers arrived at the airport checked in and had to wait for 6 hours before some came along with police to inform that the flight has some technical fault and they don't know when it will be fixed. Ultimately had to wait for 24 hours. No arrangements for food or water was made.,Air India Express,Aviation,High,10.0
"food is not good salt is heavy worst of food Chickpet biryani,,, 😡😡😡😡",Zomato Food Delivery,Food & Beverage,Medium,5.0
Branch timing bahut inconvenient hain. Working professionals kaise visit karein? Online services bhi bakwas.,Canara Bank Branch Service,Banking,Low,3.0
"Not Verified |  AirAsia India is not customer-oriented air carrier. In Covid-19 spread issue, they are allowing to cancel tickets but refund will be in the form of credit points which can be used later. And allowing to reschedule the itinerary with payment of ticket difference amount.",AirAsia India,Aviation,Medium,6.5
terrible experience. 😡 they gave me ₹125 off but when i selected items to order they change it to ₹100 off just in few seconds. 🤬🤬. also my cod is always not available. i have ordered several times but cod remains unavailable. fix this asap 🤬🤬,Zomato Food Delivery,Food & Beverage,Medium,7.0
ghatiya customer support..... support k naam par they just ignore......and cut tha chats on face,Zomato Food Delivery,Food & Beverage,Medium,6.0
Worst Food OrderApp..Not at All reasonable Charges offering..Grabing Customers Amount..Making Fraud and More charges applying to customer.. Stoling Hungry Customers Money,Zomato Food Delivery,Food & Beverage,High,8.5
Unwanted caller tunes activated without my consent and money deducted. Airtel doing fraud!,Airtel Value Added Services,Tech & Telecommunications,High,9.0
Not Verified | Very bad service. No accurate timing. Delaying without any communication. Staffs  do not seem experienced and not sure about the process. First and last time booking this service. Advise everyone not to book because your time is more valuable than money.,Air India Express,Aviation,High,8.0
